CopiedTimestamp,SourceFile,DestinationFile,FileSize,SourceFileSha1,DeferredCopy,CreatedOnUtc,ModifiedOnUtc,LastAccessedOnUtc,CopyDuration
2024-09-06 13:17:50.8090498,E:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Internet Explorer (64-bit).lnk,D:\challengeeeeee\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Internet Explorer (64-bit).lnk,1409,F0FE4500D88B63BCA7870477C986B440024A9E69,False,2024-09-06 11:56:24.2671147,2024-09-06 11:56:24.2671147,2024-09-06 11:56:24.2671147,00:00:00.0039875
2024-09-06 13:17:50.8281059,E:\Users\Administrator\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Internet Explorer.lnk,D:\challengeeeeee\E\Users\Administrator\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Internet Explorer.lnk,1443,6ABA0E8F99CA51AB7E8C545D2B6E94BD70E2A290,False,2024-09-06 11:56:23.6275136,2024-09-06 11:56:24.2671147,2024-09-06 11:56:24.2671147,00:00:00.0039888
2024-09-06 13:17:50.8546526,E:\Users\HP\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Internet Explorer (64-bit).lnk,D:\challengeeeeee\E\Users\HP\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Internet Explorer (64-bit).lnk,1409,A59BE20046D7821090037DB944AFE467A2CF9EE9,False,2024-09-06 11:49:50.2728227,2024-09-06 11:49:50.2728227,2024-09-06 11:49:50.2728227,00:00:00.0037273
2024-09-06 13:17:50.8785883,E:\Users\HP\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Internet Explorer.lnk,D:\challengeeeeee\E\Users\HP\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Internet Explorer.lnk,1443,80350C9525B99C8A58F4B35801A79803C8465697,False,2024-09-06 11:49:49.4616212,2024-09-06 11:49:50.2728227,2024-09-06 11:49:50.2728227,00:00:00.0029511
2024-09-06 13:17:50.8862720,E:\Windows\System32\config\SAM.LOG,D:\challengeeeeee\E\Windows\System32\config\SAM.LOG,1024,8B55CD035BFC9CB7E65293B049A7A1FAFD9218BC,False,2009-07-14 06:38:21.5600000,2009-07-14 07:04:00.6237098,2009-07-14 07:04:00.5612126,00:00:00.0036434
2024-09-06 13:17:50.8927331,E:\Windows\System32\config\SAM.LOG1,D:\challengeeeeee\E\Windows\System32\config\SAM.LOG1,25600,800CF30B798924D6DE7F3F68B05A259A3176E113,False,2009-07-14 02:34:08.0883646,2024-09-06 13:00:30.1306168,2009-07-14 02:34:08.0883646,00:00:00.0020641
2024-09-06 13:17:50.8937257,E:\Windows\System32\config\SAM.LOG2,D:\challengeeeeee\E\Windows\System32\config\SAM.LOG2,0,DA39A3EE5E6B4B0D3255BFEF95601890AFD80709,False,2009-07-14 02:34:08.0883646,2009-07-14 02:34:08.0883646,2009-07-14 02:34:08.0883646,00:00:00
2024-09-06 13:17:50.8976810,E:\Windows\System32\config\SECURITY.LOG,D:\challengeeeeee\E\Windows\System32\config\SECURITY.LOG,1024,85F95D296B57054C1BF24389218B0C329B909CCF,False,2009-07-14 06:38:21.5287500,2009-07-14 07:04:00.4987154,2009-07-14 07:04:00.4674668,00:00:00.0017561
2024-09-06 13:17:50.9086517,E:\Windows\System32\config\SECURITY.LOG1,D:\challengeeeeee\E\Windows\System32\config\SECURITY.LOG1,29696,42457647796DE13D0D1A7FE6B47AB3F0B308A2B3,False,2009-07-14 02:34:08.0883646,2024-09-06 13:00:35.1850257,2009-07-14 02:34:08.0883646,00:00:00.0039904
2024-09-06 13:17:50.9147446,E:\Windows\System32\config\SOFTWARE.LOG,D:\challengeeeeee\E\Windows\System32\config\SOFTWARE.LOG,1024,920DA0379CB593F03E6583CF3020DA614F4591F4,False,2009-07-14 06:38:21.3256250,2009-07-14 07:04:02.2330127,2009-07-14 07:04:02.1861398,00:00:00.0024775
2024-09-06 13:17:50.9247187,E:\Windows\System32\config\SOFTWARE.LOG1,D:\challengeeeeee\E\Windows\System32\config\SOFTWARE.LOG1,262144,E3D7988AD08CC04189E047A43B887A2758459942,False,2009-07-14 02:34:08.0883646,2024-09-06 13:00:35.1850257,2009-07-14 02:34:08.0883646,00:00:00.0049875
2024-09-06 13:17:50.9287080,E:\Windows\System32\config\SYSTEM.LOG,D:\challengeeeeee\E\Windows\System32\config\SYSTEM.LOG,1024,8AA2D765CA7C61E4282B0BCF5C266CCF66342BAD,False,2009-07-14 06:38:18.5912500,2009-07-14 07:04:00.4205939,2009-07-14 07:04:00.4049696,00:00:00.0017367
2024-09-06 13:17:50.9387182,E:\Windows\System32\config\SYSTEM.LOG1,D:\challengeeeeee\E\Windows\System32\config\SYSTEM.LOG1,262144,AE180BFAE1AC56AFC61CDE26CC87FB090AEF1E54,False,2009-07-14 02:34:08.0883646,2024-09-06 13:01:35.5572915,2009-07-14 02:34:08.0883646,00:00:00.0059856
2024-09-06 13:17:50.9497001,E:\Windows\System32\config\SAM,D:\challengeeeeee\E\Windows\System32\config\SAM,262144,72B7EB2F7EED2120F21AFC591F843E8D2AD7B439,False,2009-07-14 02:34:08.0883646,2024-09-06 13:00:30.1306168,2024-09-06 13:00:35.1850257,00:00:00.0049977
2024-09-06 13:17:50.9576670,E:\Windows\System32\config\SECURITY,D:\challengeeeeee\E\Windows\System32\config\SECURITY,262144,8C54C8B7C27F571EC9269764386CDDC5DBAA27CE,False,2009-07-14 02:34:08.0883646,2024-09-06 13:00:35.1850257,2024-09-06 13:00:35.1850257,00:00:00.0039895
2024-09-06 13:17:51.4416936,E:\Windows\System32\config\SOFTWARE,D:\challengeeeeee\E\Windows\System32\config\SOFTWARE,30408704,D80FC2DC7A038FEE7367F4485FC65B9410AD9F4F,False,2009-07-14 02:34:08.0883646,2024-09-06 13:00:35.1850257,2024-09-06 13:00:35.1850257,00:00:00.2498801
2024-09-06 13:17:51.6388582,E:\Windows\System32\config\SYSTEM,D:\challengeeeeee\E\Windows\System32\config\SYSTEM,11010048,EE7F384D725971C3B4EE0A32E786E1C9D818227B,False,2009-07-14 02:34:08.0883646,2024-09-06 13:01:35.5572915,2024-09-06 13:00:35.1850257,00:00:00.1013568
